day,attack_records,launched_reported,intercepted_reported,uav_events,missile_events,guided_bomb_events
2023-08-02 00:00:00+00:00,2,30.0,30.0,2,0,0
2023-08-03 00:00:00+00:00,1,15.0,15.0,1,0,0
2023-08-05 00:00:00+00:00,5,70.0,58.0,1,4,0
2023-08-10 00:00:00+00:00,1,10.0,7.0,1,0,0
2023-08-11 00:00:00+00:00,1,4.0,1.0,0,1,0
2023-08-12 00:00:00+00:00,1,5.0,3.0,1,0,0
2023-08-14 00:00:00+00:00,3,26.0,24.0,1,2,0
2023-08-15 00:00:00+00:00,5,49.0,29.0,1,4,0
2023-08-16 00:00:00+00:00,1,3.0,3.0,1,0,0
2023-08-18 00:00:00+00:00,2,7.0,7.0,1,1,0
2023-08-19 00:00:00+00:00,1,17.0,15.0,1,0,0
2023-08-23 00:00:00+00:00,1,20.0,11.0,1,0,0
2023-08-24 00:00:00+00:00,1,1.0,1.0,0,1,0
2023-08-25 00:00:00+00:00,3,5.0,5.0,1,2,0
2023-08-26 00:00:00+00:00,1,2.0,2.0,1,0,0
2023-08-27 00:00:00+00:00,2,10.0,6.0,1,1,0
2023-08-28 00:00:00+00:00,2,6.0,4.0,0,2,0
2023-08-30 00:00:00+00:00,2,44.0,43.0,1,1,0
2023-09-01 00:00:00+00:00,1,2.0,1.0,0,1,0
2023-09-03 00:00:00+00:00,1,25.0,22.0,1,0,0
2023-09-04 00:00:00+00:00,1,32.0,23.0,1,0,0
2023-09-06 00:00:00+00:00,3,33.0,23.0,1,2,0
2023-09-07 00:00:00+00:00,1,33.0,25.0,1,0,0
2023-09-08 00:00:00+00:00,1,20.0,16.0,1,0,0
2023-09-10 00:00:00+00:00,1,33.0,26.0,1,0,0
2023-09-11 00:00:00+00:00,2,13.0,13.0,2,0,0
2023-09-13 00:00:00+00:00,2,66.0,49.0,2,0,0
2023-09-15 00:00:00+00:00,1,17.0,17.0,1,0,0
2023-09-17 00:00:00+00:00,2,16.0,12.0,1,1,0
2023-09-18 00:00:00+00:00,2,41.0,35.0,1,1,0
2023-09-19 00:00:00+00:00,3,32.0,28.0,2,1,0
2023-09-20 00:00:00+00:00,1,24.0,17.0,1,0,0
2023-09-21 00:00:00+00:00,2,49.0,36.0,0,2,0
2023-09-23 00:00:00+00:00,2,17.0,16.0,1,1,0
2023-09-24 00:00:00+00:00,2,7.0,7.0,1,1,0
2023-09-25 00:00:00+00:00,3,33.0,30.0,1,2,0
2023-09-26 00:00:00+00:00,1,38.0,26.0,1,0,0
2023-09-27 00:00:00+00:00,1,6.0,6.0,0,1,0
2023-09-28 00:00:00+00:00,1,44.0,34.0,1,0,0
2023-09-30 00:00:00+00:00,1,40.0,30.0,1,0,0
2023-10-01 00:00:00+00:00,2,33.0,19.0,1,1,0
2023-10-02 00:00:00+00:00,1,7.0,4.0,1,0,0
2023-10-03 00:00:00+00:00,2,32.0,30.0,1,1,0
2023-10-05 00:00:00+00:00,1,29.0,24.0,1,0,0
2023-10-06 00:00:00+00:00,1,33.0,25.0,1,0,0
2023-10-10 00:00:00+00:00,1,36.0,27.0,1,0,0
2023-10-11 00:00:00+00:00,1,1.0,1.0,0,1,0
2023-10-12 00:00:00+00:00,1,33.0,28.0,1,0,0
2023-10-15 00:00:00+00:00,1,1.0,1.0,1,0,0
2023-10-16 00:00:00+00:00,3,18.0,13.0,1,2,0
2023-10-17 00:00:00+00:00,3,9.0,7.0,1,2,0
2023-10-18 00:00:00+00:00,6,18.0,5.0,1,5,0
2023-10-21 00:00:00+00:00,1,3.0,3.0,0,1,0
2023-10-22 00:00:00+00:00,4,14.0,4.0,2,2,0
2023-10-23 00:00:00+00:00,3,15.0,15.0,2,1,0
2023-10-24 00:00:00+00:00,2,7.0,7.0,1,1,0
2023-10-25 00:00:00+00:00,1,11.0,11.0,1,0,0
2023-10-27 00:00:00+00:00,4,12.0,10.0,1,3,0
2023-10-28 00:00:00+00:00,1,4.0,3.0,0,1,0
2023-10-29 00:00:00+00:00,6,24.0,23.0,2,4,0
2023-10-30 00:00:00+00:00,1,2.0,2.0,0,1,0
2023-10-31 00:00:00+00:00,3,5.0,5.0,1,2,0
2023-11-01 00:00:00+00:00,4,24.0,22.0,1,3,0
2023-11-02 00:00:00+00:00,2,2.0,2.0,0,2,0
2023-11-03 00:00:00+00:00,3,42.0,26.0,1,2,0
2023-11-04 00:00:00+00:00,2,5.0,5.0,1,1,0
2023-11-05 00:00:00+00:00,6,27.0,17.0,1,5,0
2023-11-06 00:00:00+00:00,2,2.0,1.0,1,1,0
2023-11-09 00:00:00+00:00,1,1.0,1.0,0,1,0
2023-11-10 00:00:00+00:00,8,43.0,26.0,2,6,0
2023-11-11 00:00:00+00:00,1,1.0,1.0,0,1,0
2023-11-12 00:00:00+00:00,2,3.0,1.0,0,2,0
2023-11-13 00:00:00+00:00,2,5.0,5.0,0,2,0
2023-11-14 00:00:00+00:00,3,11.0,7.0,1,2,0
2023-11-15 00:00:00+00:00,1,1.0,1.0,0,1,0
2023-11-16 00:00:00+00:00,1,18.0,16.0,1,0,0
2023-11-17 00:00:00+00:00,2,48.0,38.0,2,0,0
2023-11-19 00:00:00+00:00,1,20.0,15.0,1,0,0
2023-11-21 00:00:00+00:00,6,31.0,25.0,2,4,0
2023-11-22 00:00:00+00:00,1,2.0,2.0,1,0,0
2023-11-24 00:00:00+00:00,2,4.0,4.0,1,1,0
